 timedelta, n_tokens_title, n_tokens_content, n_unique_tokens, n_non_stop_words, n_non_stop_unique_tokens, num_hrefs, num_self_hrefs, num_imgs, num_videos, average_token_length, num_keywords, data_channel_is_lifestyle, data_channel_is_entertainment, data_channel_is_bus, data_channel_is_socmed, data_channel_is_tech, data_channel_is_world, kw_min_min, kw_max_min, kw_avg_min, kw_min_max, kw_max_max, kw_avg_max, kw_min_avg, kw_max_avg, kw_avg_avg, self_reference_min_shares, self_reference_max_shares, self_reference_avg_sharess, weekday_is_monday, weekday_is_tuesday, weekday_is_wednesday, weekday_is_thursday, weekday_is_friday, weekday_is_saturday, weekday_is_sunday, is_weekend, LDA_00, LDA_01, LDA_02, LDA_03, LDA_04, global_subjectivity, global_sentiment_polarity, global_rate_positive_words, global_rate_negative_words, rate_positive_words, rate_negative_words, avg_positive_polarity, min_positive_polarity, max_positive_polarity, avg_negative_polarity, min_negative_polarity, max_negative_polarity, title_subjectivity, title_sentiment_polarity, abs_title_subjectivity, abs_title_sentiment_polarity, shares
179.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,411.0,159.777777778,0.0,843300.0,276640.0,0.0,9077.31395349,4930.46349639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0202488220285,0.0200097085047,0.120158362242,0.572602959502,0.266980147722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,5899.0
621.0,9.0,229.0,0.612903222982,0.999999992481,0.7518796935950001,4.0,2.0,1.0,10.0,4.73362445415,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,414.0,248.83333333299998,37400.0,690400.0,442216.666667,3334.20875421,5656.43939394,4223.93933862,9400.0,9400.0,9400.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0342719422712,0.033581582045900005,0.033393777291900004,0.864789821919,0.0339628764719,0.652141203704,-0.1234375,0.0349344978166,0.056768558952,0.380952380952,0.619047619048,0.35,0.1,0.7,-0.446794871795,-1.0,-0.05,0.0,0.0,0.5,0.0,6342.0
297.0,12.0,334.0,0.5945945928090001,0.999999995327,0.747663547908,7.0,3.0,2.0,0.0,4.88323353293,10.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,1400.0,245.5,1400.0,843300.0,260660.0,1400.0,14041.8030303,4308.57218278,17300.0,17300.0,17300.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0200277516091,0.020001825218,0.020016508672700002,0.020000294158,0.919953620342,0.47747113997100005,0.114784000722,0.0299401197605,0.00898203592814,0.769230769231,0.23076923076900002,0.317981601732,0.0625,0.8,-0.141666666667,-0.25,-0.05,0.0,0.0,0.5,0.0,6073.0
693.0,10.0,281.0,0.614232207437,0.9999999939390001,0.751515146961,6.0,0.0,0.0,1.0,4.626334519569999,8.0,0.0,0.0,0.0,0.0,1.0,0.0,217.0,673.0,382.428571429,0.0,69100.0,31037.5,0.0,2867.05172414,2298.50811227,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.025300573741599997,0.0254471085066,0.162823659365,0.115129714615,0.6712989437710001,0.464122315593,0.198307656396,0.039145907473300004,0.0106761565836,0.785714285714,0.214285714286,0.42251082251100003,0.1,1.0,-0.126851851852,-0.155555555556,-0.1,0.0,0.0,0.5,0.0,1926.0
519.0,11.0,279.0,0.638989167368,0.99999999375,0.8187499948829999,10.0,3.0,1.0,0.0,4.354838709680001,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1700.0,425.8,1700.0,843300.0,361100.0,1700.0,5180.61877593,3779.25296486,2900.0,2900.0,2900.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0402035450775,0.040018678452900004,0.0400050741899,0.8396250147579999,0.0401476875212,0.37611111111100004,-0.03,0.0179211469534,0.021505376344099998,0.45454545454499995,0.545454545455,0.335,0.2,0.5,-0.27083333333299997,-0.5,-0.125,0.65,0.15,0.15,0.15,6338.0
29.0,7.0,389.0,0.6231003020570001,0.999999995816,0.7447698713609999,3.0,3.0,1.0,17.0,4.43701799486,10.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,560.0,228.88888888900001,0.0,843300.0,220810.0,0.0,4253.23015873,2596.28411386,773.0,3200.0,1986.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.16256163867,0.0202360017094,0.0200387217391,0.777162720169,0.0200009177119,0.479444444444,0.192638888889,0.0488431876607,0.0154241645244,0.76,0.24,0.483333333333,0.0333333333333,1.0,-0.254861111111,-0.5,-0.166666666667,0.5,0.5,0.0,0.5,5643.0
615.0,9.0,576.0,0.48780487719899995,0.999999997191,0.6264044926219999,32.0,2.0,1.0,0.0,4.6875,9.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3900.0,723.0,3400.0,690400.0,184666.666667,2003.5,10241.6,5096.13312483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.022617887037400003,0.266688238426,0.0222500984663,0.665942028928,0.0225017471428,0.48751646903800006,0.0513092885375,0.0329861111111,0.026041666666700002,0.558823529412,0.44117647058799997,0.365231259968,0.1,1.0,-0.29194444444400003,-0.6,-0.125,0.0,0.0,0.5,0.0,4978.0
605.0,9.0,165.0,0.756249995273,0.9999999905660001,0.8396226335879999,4.0,3.0,0.0,1.0,5.07878787879,5.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,919.0,395.8,6400.0,690400.0,179980.0,3004.5666982,4227.13333333,3454.43727365,6000.0,6000.0,6000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040000868620800004,0.839631849065,0.0400003250355,0.0403665143285,0.040000442949699996,0.336764705882,0.04852941176469999,0.0242424242424,0.0181818181818,0.5714285714289999,0.428571428571,0.28125,0.1,0.4,-0.1,-0.125,-0.05,0.0,0.0,0.5,0.0,5006.0
678.0,10.0,611.0,0.504950494216,0.999999997207,0.684357539988,10.0,0.0,1.0,0.0,4.91325695581,7.0,0.0,0.0,0.0,0.0,0.0,1.0,217.0,2200.0,631.571428571,2200.0,227300.0,57100.0,1675.26086957,4314.17054264,2811.43736697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.028574076144,0.028571709263400004,0.70351410098,0.028571609010200002,0.210768504602,0.335836737597,0.134329715668,0.0490998363339,0.027823240589200004,0.63829787234,0.36170212766000004,0.423654401154,0.05,1.0,-0.13954248366,-0.25,-0.05,0.3,-0.06666666666669999,0.2,0.06666666666669999,2661.0
83.0,12.0,774.0,0.48694516907700003,0.999999997462,0.763959388924,1.0,0.0,24.0,0.0,4.240310077519999,8.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,607.0,161.285714286,0.0,843300.0,175087.5,0.0,5685.74988652,2603.68614313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.025001988657,0.0250025012142,0.649226676162,0.275753513213,0.025015320753900002,0.444511904762,0.108700757576,0.027131782945699998,0.0077519379845,0.777777777778,0.222222222222,0.371572871573,0.1,0.85,-0.329166666667,-1.0,-0.1,0.0,0.0,0.5,0.0,5422.0
638.0,9.0,430.0,0.5352112663490001,0.999999995951,0.720647770362,5.0,1.0,0.0,0.0,4.5488372093,5.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,769.0,357.8,7300.0,617900.0,159820.0,2880.19087137,3314.45709828,3103.43500755,4600.0,4600.0,4600.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0400059573894,0.040004190042199995,0.548850541821,0.040001209501,0.331138101246,0.47343975469,0.1293500481,0.0511627906977,0.0162790697674,0.758620689655,0.241379310345,0.35241046831999995,0.1,0.7,-0.385204081633,-0.6,-0.07142857142860001,0.0,0.0,0.5,0.0,4630.0
187.0,11.0,583.0,0.46864111416599996,0.999999997238,0.613259666814,16.0,4.0,6.0,0.0,4.62264150943,9.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,851.0,327.666666667,5900.0,843300.0,253633.333333,1852.22727273,3532.98824368,2670.35520861,1400.0,2800.0,2100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.022228245393099998,0.022222653805999998,0.134178410923,0.022222330895500002,0.7991483589820001,0.462497151971,0.16823403204999998,0.0686106346484,0.0137221269297,0.833333333333,0.166666666667,0.34242288960999995,0.0333333333333,1.0,-0.339583333333,-0.5,-0.05,0.5,0.5,0.0,0.5,5832.0
296.0,12.0,248.0,0.659751034607,0.9999999936310001,0.815286619011,7.0,2.0,1.0,0.0,4.68951612903,5.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,398.0,98.4,1900.0,843300.0,278600.0,1171.375,4027.55221239,2961.07570544,1700.0,1700.0,1700.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0400984907576,0.042330609423500004,0.245413834724,0.437979750914,0.23417731418200002,0.440672348485,0.237357954545,0.0362903225806,0.00403225806452,0.9,0.1,0.43956228956200005,0.0333333333333,0.8,-0.125,-0.125,-0.125,1.0,0.8,0.5,0.8,5926.0
595.0,9.0,471.0,0.52777777665,0.9999999960160001,0.74900398108,3.0,0.0,1.0,0.0,4.475583864119999,8.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,689.0,368.714285714,0.0,690400.0,146625.0,0.0,3364.06319397,2568.50872145,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.025008688473400004,0.025004326565900004,0.025006002955,0.0250199432369,0.899961038769,0.386734693878,0.13044217687100002,0.0212314225053,0.00849256900212,0.714285714286,0.28571428571400004,0.34642857142899997,0.2,0.5,-0.2,-0.4,-0.1,0.0,0.0,0.5,0.0,4731.0
370.0,11.0,248.0,0.677824264946,0.9999999939759999,0.759036140006,8.0,2.0,1.0,1.0,4.6491935483899995,8.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,619.0,256.25,1200.0,843300.0,227975.0,909.5,8424.78947368,3619.56325833,959.0,1200.0,1079.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0250103806867,0.025000114807199998,0.762376338523,0.025135928346700004,0.16247723763699998,0.576947250281,0.152121212121,0.0322580645161,0.00403225806452,0.888888888889,0.111111111111,0.246136363636,0.1,0.6,-0.4,-0.4,-0.4,0.636363636364,0.290909090909,0.13636363636399998,0.290909090909,5697.0
106.0,16.0,290.0,0.616724736527,0.999999994118,0.764705877855,1.0,1.0,2.0,1.0,4.33793103448,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,173.0,51.3333333333,54100.0,843300.0,375800.0,3479.15716144,6478.21717172,4903.68814574,1000.0,1000.0,1000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0337732687033,0.0334211959886,0.033337472629400004,0.865264169771,0.034203892907599995,0.49968434343400003,0.09643308080810001,0.0448275862069,0.024137931034499998,0.65,0.35,0.397261072261,0.1,0.8,-0.46428571428599996,-0.6,-0.25,0.0,0.0,0.5,0.0,6543.0
723.0,11.0,389.0,0.40055248508100005,0.999999995781,0.489451474728,7.0,0.0,1.0,0.0,4.47300771208,8.0,0.0,0.0,1.0,0.0,0.0,0.0,217.0,582.0,410.0,0.0,39400.0,11050.0,0.0,6178.21428571,1491.45696791,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.899033509037,0.0253286061128,0.025003168188,0.0256052549371,0.025029461725499996,0.462280701754,0.226973684211,0.06683804627249999,0.0154241645244,0.8125,0.1875,0.35865384615400003,0.0333333333333,0.5,-0.116666666667,-0.15,-0.05,0.06666666666669999,0.0,0.433333333333,0.0,1728.0
509.0,10.0,210.0,0.567708330377,0.999999993506,0.558441554815,22.0,3.0,17.0,0.0,5.17619047619,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,440.0,113.0,0.0,843300.0,319833.333333,0.0,7626.32907348,3470.56448291,6300.0,29500.0,17900.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0333373217468,0.0333490873847,0.0333357424963,0.866642608813,0.0333352395591,0.638235294118,-0.08627450980389999,0.0333333333333,0.0333333333333,0.5,0.5,0.433333333333,0.166666666667,0.7,-0.785714285714,-1.0,-0.5,1.0,-1.0,0.5,1.0,6250.0
191.0,11.0,484.0,0.38716356027500004,0.999999997059,0.44705882221500004,6.0,1.0,18.0,0.0,5.25,7.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,1400.0,327.0,8200.0,843300.0,233471.428571,1282.88888889,4650.0,2945.96659661,9900.0,9900.0,9900.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.478880919555,0.028572818605999997,0.435350960889,0.0286222549361,0.0285730460139,0.291793990323,0.11996116628499999,0.055785123966899997,0.00826446280992,0.8709677419349999,0.12903225806500002,0.212481962482,0.0333333333333,0.8,-0.30416666666700004,-0.5,-0.05,0.06666666666669999,0.0333333333333,0.433333333333,0.0333333333333,5850.0
146.0,15.0,346.0,0.607250753452,0.9999999954340001,0.73059360397,7.0,3.0,3.0,0.0,4.73988439306,8.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,472.0,97.42857142860001,0.0,843300.0,163062.5,0.0,3490.55145252,1966.97145948,993.0,3200.0,2096.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0250011861661,0.025001310007700003,0.899988328484,0.0250007805764,0.0250083947656,0.26,0.163376623377,0.017341040462400002,0.008670520231209998,0.666666666667,0.33333333333299997,0.458441558442,0.13636363636399998,1.0,-0.1,-0.1,-0.1,0.0,0.0,0.5,0.0,5377.0
452.0,14.0,539.0,0.564245809005,0.999999996865,0.780564260876,5.0,1.0,0.0,1.0,4.7903525046399995,10.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,634.0,230.9,301.0,843300.0,242320.1,301.0,4486.55140187,2899.37700048,1100.0,1100.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.020088268477099998,0.119983045011,0.321345547418,0.11932060791400001,0.41926253118100004,0.383928571429,0.08760504201680001,0.029684601113200003,0.014842300556600001,0.666666666667,0.33333333333299997,0.33928571428599996,0.1,0.5,-0.227083333333,-0.4,-0.1,0.0,0.0,0.5,0.0,5747.0
231.0,10.0,1680.0,0.423985463099,0.999999999007,0.614697119548,27.0,3.0,0.0,24.0,4.686309523809999,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,693.0,202.065555556,0.0,843300.0,374950.0,0.0,7320.26472903,4168.92979943,4500.0,31500.0,14100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.020000892061999998,0.128247042981,0.0200284709144,0.811706950061,0.0200166439812,0.419383198103,0.11994028329399999,0.0375,0.0220238095238,0.63,0.37,0.415312650313,0.1,1.0,-0.26038552288600003,-0.7,-0.05,0.5,0.375,0.0,0.375,6479.0
113.0,8.0,344.0,0.619469024721,0.999999995413,0.7660550423579999,8.0,2.0,1.0,0.0,4.95639534884,5.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1000.0,225.2,1400.0,843300.0,219920.0,1200.0,3481.80085187,2210.28453804,1000.0,1200.0,1100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.040002332070699996,0.0400004878928,0.8399940649300001,0.040000827610800004,0.0400022874954,0.415,0.1775,0.0261627906977,0.0116279069767,0.692307692308,0.307692307692,0.48703703703699996,0.25,0.8,-0.13125,-0.2,-0.1,0.0,0.0,0.5,0.0,5647.0
692.0,10.0,129.0,0.727999994176,0.999999985507,0.913043465028,2.0,1.0,0.0,0.0,4.37209302326,6.0,0.0,0.0,0.0,0.0,1.0,0.0,217.0,349.0,304.0,1900.0,69100.0,38850.0,862.6470588239999,3363.30645161,2411.14913375,11100.0,11100.0,11100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0338159475832,0.0334632017738,0.033395968146599994,0.0333941394779,0.865930743018,0.444871794872,0.276923076923,0.077519379845,0.0,1.0,0.0,0.376666666667,0.166666666667,0.8,0.0,0.0,0.0,0.5875,0.1375,0.0875,0.1375,2110.0
276.0,6.0,420.0,0.520481926457,0.9999999955159999,0.735426005671,3.0,1.0,1.0,1.0,4.38333333333,7.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,703.0,148.714285714,9600.0,843300.0,225757.14285700003,1611.57692308,4019.59949196,3039.86878956,1700.0,1700.0,1700.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.171452635719,0.029739844597099996,0.17139573167999997,0.598819651633,0.0285921363705,0.46154040404,0.0669696969697,0.035714285714300006,0.0190476190476,0.652173913043,0.34782608695699996,0.357272727273,0.1,0.85,-0.36875,-1.0,-0.05,0.4,-0.2,0.1,0.2,5714.0
51.0,7.0,1035.0,0.482826299821,0.999999998353,0.675453046663,23.0,10.0,1.0,0.0,4.80193236715,5.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,452.0,89.6,17300.0,843300.0,467500.0,1506.15686275,4378.12149533,2985.7032638,910.0,5700.0,2212.22222222,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.839961877837,0.0400020459313,0.0400305363682,0.040000010495,0.0400055293688,0.449498896528,0.101275019099,0.0386473429952,0.0193236714976,0.666666666667,0.33333333333299997,0.365417748918,0.05,0.8,-0.286666666667,-0.7,-0.05,1.0,-0.2,0.5,0.2,6839.0
216.0,12.0,428.0,0.53865336524,0.999999996528,0.6180555534100001,26.0,1.0,1.0,1.0,4.66588785047,6.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,326.0,104.8,0.0,843300.0,273433.333333,0.0,3579.1503192,2117.9213081,70.0,70.0,70.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0333530442619,0.0333365117361,0.8665843555689999,0.0333710275057,0.0333550609274,0.336939197166,0.0629068662125,0.0280373831776,0.018691588785,0.6,0.4,0.24197330447299997,0.0333333333333,0.5,-0.123958333333,-0.2,-0.1,0.327705627706,0.0835497835498,0.17229437229400002,0.0835497835498,5862.0
724.0,13.0,208.0,0.7029702935500001,0.9999999911499999,0.884955744381,4.0,3.0,0.0,1.0,4.20192307692,5.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,573.0,382.6,3000.0,37400.0,24880.0,1543.0,4696.45454545,3226.45376483,9100.0,9100.0,9100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0400823612106,0.0404589416183,0.0401137474971,0.839339364605,0.0400055850691,0.413874643875,0.21450142450100002,0.0336538461538,0.0240384615385,0.583333333333,0.416666666667,0.5785714285710001,0.2,0.9,-0.199829059829,-0.4,-0.0769230769231,0.166666666667,-0.166666666667,0.33333333333299997,0.166666666667,1923.0
155.0,14.0,216.0,0.655813950438,0.999999991597,0.831932766118,5.0,3.0,0.0,1.0,4.550925925930001,7.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,183.0,43.714285714300004,14200.0,843300.0,196728.571429,1587.6557377000001,3504.93380197,2550.12317627,2200.0,2200.0,2200.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0285717736143,0.0285868001733,0.754570629945,0.028571603783999998,0.159699192483,0.542777777778,0.06888888888889999,0.0185185185185,0.0185185185185,0.5,0.5,0.508333333333,0.1,0.8,-0.25,-0.5,-0.125,0.0,0.0,0.5,0.0,5592.0
666.0,11.0,253.0,0.535714283323,0.999999992188,0.718749994385,4.0,1.0,1.0,0.0,4.6561264822099995,6.0,0.0,0.0,1.0,0.0,0.0,0.0,217.0,849.0,444.0,3500.0,617900.0,142600.0,1505.5,5749.95238095,3039.77873803,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.512441661568,0.22392340096299998,0.0333480269851,0.033333690366,0.19695322011799998,0.426167929293,0.174589646465,0.05928853754940001,0.0158102766798,0.7894736842110001,0.210526315789,0.32101010101,0.0333333333333,0.9,-0.15625,-0.166666666667,-0.125,0.383333333333,0.1,0.116666666667,0.1,4477.0
